Context,Completion
"/*
 * Copyright 2010-2024 JetBrains s.r.o. and Kotlin Programming Language contributors.
 * Use of this source code is governed by the Apache 2.0 license that can be found in the license/LICENSE.txt file.
 */

package org.jetbrains.kotlin.fir.builder

import com.intellij.psi.tree.IElementType
import org.jetbrains.kotlin.KtFakeSourceElementKind
import org.jetbrains.kotlin.KtRealSourceElementKind
import org.jetbrains.kotlin.KtSourceElement
import org.jetbrains.kotlin.contracts.description.LogicOperationKind
import org.jetbrains.kotlin.descriptors.Modality
import org.jetbrains.kotlin.descriptors.Visibilities
import org.jetbrains.kotlin.descriptors.annotations.AnnotationUseSiteTarget
import org.jetbrains.kotlin.fakeElement
import org.jetbrains.kotlin.fir.*",import org.jetbrains.kotlin.fir.contracts.FirContractDescription
"package test

class A {
    companion object {
        annotation class Anno1",class B {
")

                // Native:
                assertFileExists(""build/classes/kotlin/linux64/integrationTest/klib/new-mpp-associate-compilations_integrationTest.klib"")
            }
        }
    }

    @Test
    fun testTestRunsApi() = with(Project(""new-mpp-associate-compilations"")) {
        setupWorkingDir()
        gradleBuildScript().modify(::transformBuildScriptWithPluginsDsl)

        // TOOD: add Kotlin/JS tests once they can be tested without much performance overhead
        val targetsToTest = listOf(""jvm"", nativeHostTargetName) + when (HostManager.host) {
            KonanTarget.MACOS_X64 -> listOf(""iosX64"")
            KonanTarget.MACOS_ARM64 -> listOf(""iosSimulatorArm64"")
            else -> emptyList()
        }
        val testTasks = targetsToTest.flatMap { listOf("":${it}Test"", "":${it}IntegrationTest"") }.toTypedArray()

        build(*testTasks) {
            assertSuccessful()

            assertTasksExecuted(
                *testTasks,
                "":compileIntegrationTestKotlinJvm"",
                "":linkIntegrationDebugTest${nativeHostTargetName.replaceFirstChar { if (it.isLowerCase()) it.titlecase(Locale.getDefault()) else it.toString() }}""
            )

            fun checkUnitTestOutput(targetName: String) {
                val classReportHtml = projectDir
                    .resolve(""build/reports/tests/${targetName}Test/classes/com.example.HelloTest.html"")
                    .readText()

                assertTrue(""secondTest"" !in classReportHtml, ""Test report should not contain 'secondTest':\n$classReportHtml"")
            }
            targetsToTest.forEach {
                checkUnitTestOutput(it)
            }

            fun checkIntegrationTestOutput(targetName: String) {
                val classReportHtml = projectDir
                    .resolve(""build/reports/tests/${targetName}IntegrationTest/classes/com.example.HelloIntegrationTest.html"")
                    .readText()

                assertTrue(""test[$targetName]"" in classReportHtml, ""Test report should contain 'test[$targetName]':\n$classReportHtml"")
                assertTrue(""secondTest"" !in classReportHtml, ""Test report should not contain 'secondTest':\n$classReportHtml"")
                assertTrue(""thirdTest"" !in classReportHtml, ""Test report should not contain 'thirdTest':\n$classReportHtml"")
            }
            targetsToTest.forEach {
                checkIntegrationTestOutput(it)
            }
        }
    }

    @Test
    fun testKlibsWithTheSameProjectName() = with(transformProjectWithPluginsDsl(""new-mpp-klibs-with-same-name"")) {
        // KT-36721.
        build(""assemble"") {
            assertSuccessful()
            assertTasksExecuted(
                "":foo:foo:compileKotlinJs"",
                "":foo:foo:compileKotlinLinux"",
                "":foo:compileKotlinJs"",",""":foo:compileKotlinLinux"","
"/*
 * Copyright 2010-2022 JetBrains s.r.o. and Kotlin Programming Language contributors.
 * Use of this source code is governed by the Apache 2.0 license that can be found in the license/LICENSE.txt file.
 */

package org.jetbrains.kotlin.references.fe10

import com.intellij.util.SmartList
import org.jetbrains.kotlin.references.fe10.base.KtFe10Reference
import org.jetbrains.kotlin.descriptors.DeclarationDescriptor
import org.jetbrains.kotlin.descriptors.FunctionDescriptor
import org.jetbrains.kotlin.idea.references.SyntheticPropertyAccessorReference",import org.jetbrains.kotlin.psi.KtImportAlias
"/*
 * Copyright 2010-2022 JetBrains s.r.o. and Kotlin Programming Language contributors.
 * Use of this source code is governed by the Apache 2.0 license that can be found in the license/LICENSE.txt file.
 */

package org.jetbrains.kotlin.fir.analysis.checkers

import org.jetbrains.kotlin.KtFakeSourceElementKind
import org.jetbrains.kotlin.builtins.StandardNames
import org.jetbrains.kotlin.descriptors.ClassKind
import org.jetbrains.kotlin.diagnostics.DiagnosticReporter
import org.jetbrains.kotlin.diagnostics.reportOn
import org.jetbrains.kotlin.fir.*
import org.jetbrains.kotlin.fir.analysis.checkers.context.CheckerContext
import org.jetbrains.kotlin.fir.analysis.checkers.declaration.FirNameConflictsTracker
import org.jetbrains.kotlin.fir.analysis.checkers.declaration.isEffectivelyFinal
import org.jetbrains.kotlin.fir.analysis.diagnostics.FirErrors
import org.jetbrains.kotlin.fir.declarations.*
import org.jetbrains.kotlin.fir.declarations.impl.FirResolvedDeclarationStatusImpl.Companion.DEFAULT_STATUS_FOR_STATUSLESS_DECLARATIONS
import org.jetbrains.kotlin.fir.declarations.impl.FirResolvedDeclarationStatusImpl.Companion.DEFAULT_STATUS_FOR_SUSPEND_MAIN_FUNCTION
import org.jetbrains.kotlin.fir.declarations.impl.modifiersRepresentation
import org.jetbrains.kotlin.fir.declarations.utils.nameOrSpecialName
import org.jetbrains.kotlin.fir.expressions.FirBlock
import org.jetbrains.kotlin.fir.expressions.FirComponentCall
import org.jetbrains.kotlin.fir.expressions.FirPropertyAccessExpression
import org.jetbrains.kotlin.fir.references.FirResolvedNamedReference
import org.jetbrains.kotlin.fir.resolve.fullyExpandedType
import org.jetbrains.kotlin.fir.resolve.outerType
import org.jetbrains.kotlin.fir.resolve.providers.firProvider
import org.jetbrains.kotlin.fir.resolve.scope
import org.jetbrains.kotlin.fir.scopes.*
import org.jetbrains.kotlin.fir.scopes.impl.FirPackageMemberScope
import org.jetbrains.kotlin.fir.scopes.impl.TypeAliasConstructorsSubstitutingScope
import org.jetbrains.kotlin.fir.scopes.impl.toConeType
import org.jetbrains.kotlin.fir.symbols.FirBasedSymbol
import org.jetbrains.kotlin.fir.symbols.SymbolInternals
import org.jetbrains.kotlin.fir.symbols.impl.*
import org.jetbrains.kotlin.fir.symbols.lazyResolveToPhase
import org.jetbrains.kotlin.fir.types.*
import org.jetbrains.kotlin.fir.util.ListMultimap
import org.jetbrains.kotlin.name.CallableId
import org.jetbrains.kotlin.name.ClassId",import org.jetbrains.kotlin.name.Name
"import org.jetbrains.kotlin.ir.BuiltInOperatorNames
import org.jetbrains.kotlin.ir.IrBuiltIns
import org.jetbrains.kotlin.ir.declarations.IrFunction
import org.jetbrains.kotlin.ir.interpreter.CallInterceptor
import org.jetbrains.kotlin.ir.interpreter.fqName
import org.jetbrains.kotlin.ir.interpreter.isPrimitiveArray
import org.jetbrains.kotlin.ir.interpreter.proxy.CommonProxy.Companion.asProxy
import org.jetbrains.kotlin.ir.interpreter.proxy.reflection.ReflectionProxy.Companion.asProxy
import org.jetbrains.kotlin.ir.interpreter.state.*
import org.jetbrains.kotlin.ir.interpreter.state.reflection.ReflectionState
import org.jetbrains.kotlin.ir.types.isArray
import org.jetbrains.kotlin.ir.types.isFloat
import org.jetbrains.kotlin.name.Name
import java.lang.invoke.MethodType

internal interface Proxy {
    val state: State
    val callInterceptor: CallInterceptor
    val environment
        get() = callInterceptor.environment

    override fun equals(other: Any?): Boolean
    override fun hashCode(): Int
    override fun toString(): String
}

internal fun State.wrap(callInterceptor: CallInterceptor, remainArraysAsIs: Boolean, extendFrom: Class<*>? = null): Any? {
    return when (this) {
        is ExceptionState -> this
        is Wrapper -> this.value
        is Primitive<*> -> when {
            this.isNull() -> null
            this.type.isArray() || this.type.isPrimitiveArray() -> if (remainArraysAsIs) this else this.value
            else -> this.value
        }
        is Common -> this.asProxy(callInterceptor, extendFrom)
        is ReflectionState -> this.asProxy(callInterceptor)
        else -> throw AssertionError(""${this::class} is unsupported as argument for wrap function"")
    }
}

private val eqeqName = IrBuiltIns.KOTLIN_INTERNAL_IR_FQN.child(Name.identifier(BuiltInOperatorNames.EQEQ)).asString()
private val checkNotNullName = IrBuiltIns.KOTLIN_INTERNAL_IR_FQN.child(Name.identifier(BuiltInOperatorNames.CHECK_NOT_NULL)).asString()

/**
 * Prepare state object to be passed in outer world
 */
internal fun List<State>.wrap(callInterceptor: CallInterceptor, irFunction: IrFunction, methodType: MethodType? = null): List<Any?> {
    val name = irFunction.fqName
    if (name == eqeqName && this.any { it is Common }) {
        // in case of custom `equals` it is important not to lose information obout type
        // so all states remain as is, only common will be converted to Proxy
        return mapIndexed { index, state ->
            if (state !is Common) return@mapIndexed state
            state.wrap(callInterceptor, remainArraysAsIs = true, methodType?.parameterType(index))
        }
    }
    return this.mapIndexed { index, state ->
        // don't get arrays from Primitive in case of ""set"" and ""Pair.<init>""; information about type will be lost
        val unwrapArrays = (name == ""kotlin.Array.set"" && index != 0) || name == ""kotlin.Pair.<init>"" || name == checkNotNullName
        state.wrap(callInterceptor, unwrapArrays, methodType?.parameterType(index))
    }
}",internal fun Class<*>.isObject(): Boolean {
fun box(): String {,"return if (call(10, ::calc) == 5) ""OK"" else ""fail"""
"/*
 * Copyright 2010-2018 JetBrains s.r.o. and Kotlin Programming Language contributors.
 * Use of this source code is governed by the Apache 2.0 license that can be found in the license/LICENSE.txt file.
 */

@file:Suppress(""PackageDirectoryMismatch"") // Old package for compatibility
package org.jetbrains.kotlin.gradle.plugin.mpp

import org.gradle.api.Project
import org.jetbrains.kotlin.gradle.DeprecatedTargetPresetApi
import org.jetbrains.kotlin.gradle.plugin.AbstractKotlinTargetConfigurator
import org.jetbrains.kotlin.gradle.plugin.KotlinPlatformType
import org.jetbrains.kotlin.gradle.targets.jvm.KotlinJvmTarget
import org.jetbrains.kotlin.gradle.targets.jvm.KotlinJvmTargetConfigurator

@DeprecatedTargetPresetApi
class KotlinJvmTargetPreset(
    project: Project",") : KotlinOnlyTargetPreset<KotlinJvmTarget, KotlinJvmCompilation>("
"equals(null)
            propT
            propAny
            propNullableT
            propNullableAny
            funT()
            funAny()
            funNullableT()
            funNullableAny()
            get()
            ip1test1()
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>this<!>.equals(null)
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>this<!>.propT
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>this<!>.propAny
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>this<!>.propNullableT
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>this<!>.propNullableAny
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>this<!>.funT()
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>this<!>.funAny()
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>this<!>.funNullableT()
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>this<!>.funNullableAny()
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>this<!>.get()
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>this<!>.ip1test1()
        }
        also {
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>it<!>
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>it<!>.equals(null)
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>it<!>.propT
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>it<!>.propAny
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>it<!>.propNullableT
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>it<!>.propNullableAny
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>it<!>.funT()
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>it<!>.funAny()
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>it<!>.funNullableT()
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>it<!>.funNullableAny()
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>it<!>.get()
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>it<!>.ip1test1()
        }
    }
}

// TESTCASE NUMBER: 52
fun <T> T?.case_52() where T : Inv<in T>, T: InterfaceWithTypeParameter1<T>? {
    if (this != null) {
        <!DEBUG_INFO_EXPRESSION_TYPE(""T? & T?!!"")!>this<!>
        <!DEBUG_INFO_EXPRESSION_TYPE(""T? & T?!!"")!>this<!>.equals(null)
        <!DEBUG_INFO_EXPRESSION_TYPE(""T? & T?!!"")!>this<!>.propT
        <!DEBUG_INFO_EXPRESSION_TYPE(""T? & T?!!"")!>this<!>.propAny
        <!DEBUG_INFO_EXPRESSION_TYPE(""T? & T?!!"")!>this<!>.propNullableT
        <!DEBUG_INFO_EXPRESSION_TYPE(""T? & T?!!"")!>this<!>.propNullableAny
        <!DEBUG_INFO_EXPRESSION_TYPE(""T? & T?!!"")!>this<!>.funT()
        <!DEBUG_INFO_EXPRESSION_TYPE(""T? & T?!!"")!>this<!>.funAny()
        <!DEBUG_INFO_EXPRESSION_TYPE(""T? & T?!!"")!>this<!>.funNullableT()
        <!DEBUG_INFO_EXPRESSION_TYPE(""T? & T?!!"")!>this<!>.funNullableAny()
        <!DEBUG_INFO_EXPRESSION_TYPE(""T? & T?!!"")!>this<!>.get()
        <!DEBUG_INFO_EXPRESSION_TYPE(""T? & T?!!"")!>this<!>.ip1test1()

        equals(this)
        get()
        ip1test1()
        apply {
            <!DEBUG_INFO_EXPRESSION_TYPE(""T"")!>this<!>
            equals(null)
            propT
            propAny
            propNullableT",propNullableAny
"// !RENDER_DIAGNOSTICS_FULL_TEXT
fun <T> flowOf(value: T): Flow<T> = TODO()

interface FlowCollector<in T> {}

interface Flow<out T>

fun <T, R> Flow<T>.transform(transform: FlowCollector<R>.(T) -> Unit): Flow<R> = TODO()

fun f() {
    fun <T> doEmit(collector: FlowCollector<T>) {}",flowOf(1).<!INFERRED_INTO_DECLARED_UPPER_BOUNDS!>transform<!> { doEmit(this) }
